relative_path,status,before_bytes,after_bytes,started_at,finished_at,error
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_15_23_020.mp4",success,2611187,536079,"2026-08-16T22:34:51.7818501+07:00","2026-08-16T22:34:52.7886778+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_001.mp4",success,1537382,913557,"2026-08-16T22:34:52.7906816+07:00","2026-08-16T22:34:53.8740770+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_002.mp4",success,1430598,613868,"2026-08-16T22:34:53.8760591+07:00","2026-08-16T22:34:54.8874265+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_003.mp4",success,3188875,1948832,"2026-08-16T22:34:54.8894294+07:00","2026-08-16T22:34:57.4982341+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_004.webm",failed,1222274,1222274,"2026-08-16T22:34:57.5002608+07:00","2026-08-16T22:34:57.5809325+07:00","ffmpeg exit code -22"
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_005.webm",failed,1652725,1652725,"2026-08-16T22:34:57.5829322+07:00","2026-08-16T22:34:57.6578890+07:00","ffmpeg exit code -22"
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_006.mp4",success,42607966,22730617,"2026-08-16T22:34:57.6598903+07:00","2026-08-16T22:35:24.2644928+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_007.mp4",success,5073746,2480271,"2026-08-16T22:35:24.2664929+07:00","2026-08-16T22:35:26.9972416+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_008.mp4",success,42607966,22730617,"2026-08-16T22:35:26.9992393+07:00","2026-08-16T22:35:52.1653908+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_009.mp4",success,42607966,22730617,"2026-08-16T22:35:52.1683820+07:00","2026-08-16T22:36:18.0833710+07:00",""
